id,question_text,question_code,form_type_id,answer_type_id,answer_field_id,answer_set_id,form,question_required,the_order,timestamp_created,timestamp_updated,is_void
418,Details,qf9A6B,,FMTA,,1,24,FALSE,17,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
417,6. If the child was removed or referred copies of the relevant paperwork have been attached to the child’s case file and provided to statutory authority and new care,qf9A6A,,FMRD,yesno_id,1,24,TRUE,16,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
416,Details,qf9A5B,,FMTA,,1,24,FALSE,15,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
415,5. The Sub-County Children’s Officer has reviewed the closure plan and provided final approval,qf9A5A,,FMRD,yesno_id,1,24,TRUE,14,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
414,Details,qf9A4B,,FMTA,,1,24,FALSE,13,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
413,4. The child(ren) and the family have been informed of available relevant support services in case support is needed in the future and contact information has been provided.,qf9A4A,,FMRD,yesno_id,1,24,TRUE,12,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
412,Details,qf9A3B,,FMTA,,1,24,FALSE,11,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
411,3. Referrals have been completed and case closure plans have been developed with the child and family. Caseworker has recognized and appreciated the achievements of the child(ren) and family.,qf9A3A,,FMRD,yesno_id,1,24,TRUE,10,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
410,Details,qf9A2B,,FMTA,,1,24,FALSE,9,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
409,2. Recommendation for closure made by caseworker; closure approved by alternative care committee.,qf9A2A,,FMRD,yesno_id,1,24,TRUE,8,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
408,Details,qf9A1B,,FMTA,,1,24,FALSE,7,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
407,1. Final visit scheduled with the child and the family.,qf9A1A,,FMRD,yesno_id,1,24,TRUE,6,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
406,If Yes,qf9AC2,,FMRD,satisfied_level_ids,1,24,TRUE,5,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
405,Caregiver provided feedback on the case management services.,qf9AC1,,FMRD,yesno_id,1,24,TRUE,4,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
404,If Yes,qf9AB2,,FMRD,satisfied_level_ids,1,24,TRUE,3,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
403,Children or person provided feedback on the case management services.,qf9AB1,,FMRD,yesno_id,1,24,TRUE,2,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
402,Reason for case closure,qf9AA,,FMSL,case_closure_reasons,1,24,TRUE,1,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
401,Proposed date of next monitoring visit,qf6A20,,FMTF,,3,13,TRUE,20,2023-08-18 14:58:01.824548+00:00,2023-08-18 14:58:01.824552+00:00,FALSE
400,Social well-being and community belonging,qf6A19,,FMTA,,1,13,FALSE,19,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
399,Child–caregiver/young adult–mentor relationship and attachment,qf6A18,,FMTA,,1,13,FALSE,18,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
398,Protection and safety,qf6A17,,FMTA,,1,13,FALSE,17,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
397,Education,qf6A16,,FMTA,,1,13,FALSE,16,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
